2020-09-10 | 17:48:42.468 | Test worker          |  INFO | tationPluginsBootstrapper | ID:          | Found 1 custom documentation plugin(s)
2020-09-10 | 17:48:42.490 | Test worker          |  INFO | piListingReferenceScanner | ID:          | Scanning for api listing references
2020-09-10 | 17:48:42.698 | Test worker          |  INFO | impleBrokerMessageHandler | ID:          | Starting...
2020-09-10 | 17:48:42.699 | Test worker          |  INFO | impleBrokerMessageHandler | ID:          | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-09-10 | 17:48:42.700 | Test worker          |  INFO | impleBrokerMessageHandler | ID:          | Started.
2020-09-10 | 17:48:42.716 | Test worker          |  INFO | s.Sprint1ApplicationTests | ID:          | Started Sprint1ApplicationTests in 12.362 seconds (JVM running for 13.588)
2020-09-10 | 17:48:42.806 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.swm.sprint1.service.UserServiceTest], using SpringBootContextLoader
2020-09-10 | 17:48:42.809 | Test worker          |  INFO | c.s.AbstractContextLoader | ID:          | Could not detect default resource locations for test class [com.swm.sprint1.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-09-10 | 17:48:42.810 | Test worker          |  INFO | nConfigContextLoaderUtils | ID:          | Could not detect default configuration classes for test class [com.swm.sprint1.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-09-10 | 17:48:42.816 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Found @SpringBootConfiguration com.swm.sprint1.Sprint1Application for test class com.swm.sprint1.service.UserServiceTest
2020-09-10 | 17:48:42.818 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-09-10 | 17:48:42.821 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4202526f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7b9ee0b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7cbeb13d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@688396ce, org.springframework.test.context.support.DirtiesContextTestExecutionListener@38c2209b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7043483e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@797d3852, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@d3cf455, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@2453db91, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4ebb659d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5e146bb0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@34e0b27b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@ed57825, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1b5763ef]
